conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.76E+18,Sun Feb 11 06:51:45 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! https://t.co/OQGQtqqSxx,1.76E+18,,,in,,0,0,0,https://x.com/HumasLemahabang/status/1756571706498654241,1.41E+18,HumasLemahabang
1.76E+18,Sun Feb 11 06:51:39 +0000 2024,1,Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! Mari Jaga Kesatuan Persatuan #BersamaJagaIndonesia https://t.co/0BfE7LFD8o,1.76E+18,https://pbs.twimg.com/media/GGCYhhHbQAAZp3T.jpg,,in,"Riau, Indonesia",0,0,0,https://x.com/HumasPoldaRiau/status/1756571682897334647,1247672666,HumasPoldaRiau
1.76E+18,Sun Feb 11 06:51:08 +0000 2024,1,Jaga Kesatuan Persatuan Polri menjamin keamanan masyarakat dalam menggunakan hak suaranya saat hari pemungutan suara di setiap tempat pemungutan suara (TPS). #BersamaJagaIndonesia https://t.co/umhodfN4bc,1.76E+18,https://pbs.twimg.com/media/GGCYhOnaAAAzEf9.jpg,,in,,0,0,0,https://x.com/SektorBatang1/status/1756571554551583015,1.70E+18,SektorBatang1
1.76E+18,Sun Feb 11 06:50:12 +0000 2024,2,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! #BersamaJagaIndonesia https://t.co/q0dxRGmPKY,1.76E+18,https://pbs.twimg.com/media/GGCYTbkaYAAmGIy.jpg,,in,indramayu,0,0,1,https://x.com/ResImyu/status/1756571317422448798,2528791784,ResImyu
1.76E+18,Sun Feb 11 06:50:03 +0000 2024,0,Pemilihan umum 2024 akan digelar pada Rabu 14 Februari 2024. Bagi Sobat Polri yang telah terdaftar sebagai pemilih tetap perlu mengetahui larangan saat berada di Tempat Pemungutan Suara (TPS) ya. Apa saja ya larangannya? Y Sumber: @indonesiabaik.id https://t.co/DJ000kKKmL,1.76E+18,,,in,,0,0,0,https://x.com/HumasLemahabang/status/1756571279472439347,1.41E+18,HumasLemahabang
1.76E+18,Sun Feb 11 06:49:21 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! Mari Jaga Kesatuan https://t.co/3hneAFZ8FC,1.76E+18,https://pbs.twimg.com/media/GGCYGkZbUAABAHT.jpg,,in,,0,0,0,https://x.com/polsekriattang1/status/1756571105962405978,1.42E+18,polsekriattang1
1.76E+18,Sun Feb 11 06:49:20 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! https://t.co/CVa9DOGFys,1.76E+18,https://pbs.twimg.com/media/GGCYGqJaUAAMJMF.jpg,,in,Dayeuhkolot,0,0,0,https://x.com/SekDayeuhkolot1/status/1756571101717766569,1.23E+18,SekDayeuhkolot1
1.76E+18,Sun Feb 11 06:48:26 +0000 2024,1,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Febr 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! Mari Jaga Kesatuan Persatuan https://t.co/CSWP22WGXQ,1.76E+18,https://pbs.twimg.com/media/GGCX5DUbQAA3FrT.jpg,,in,,0,0,0,https://x.com/polres_bungo/status/1756570874495606794,1.20E+18,polres_bungo
1.76E+18,Sun Feb 11 06:48:15 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan ! https://t.co/X80m0htymp,1.76E+18,https://pbs.twimg.com/media/GGCX2-ha0AAMYpQ.jpg,,in,,0,1,0,https://x.com/MingguPolsek/status/1756570828173688833,1.34E+18,MingguPolsek
1.76E+18,Sun Feb 11 06:40:09 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! #BersamaJagaIndonesia https://t.co/0QCL56YM26,1.76E+18,https://pbs.twimg.com/media/GGCWAR9aoAAIWOc.jpg,,in,Jl. Panyawungan No. 5 Cileunyi,0,0,0,https://x.com/Sek_Cly/status/1756568789087600735,1.32E+18,Sek_Cly
1.76E+18,Sun Feb 11 06:39:43 +0000 2024,0,Pemilihan umum 2024 akan digelar pada Rabu 14 Februari 2024. Bagi Sobat Polri yang telah terdaftar sebagai pemilih tetap perlu mengetahui larangan saat berada di Tempat Pemungutan Suara (TPS) ya. Mari Jaga Kesatuan Persatuan #BersamaJagaIndonesia Sumber: @indonesiabaik.id https://t.co/HazeISaxd5,1.76E+18,https://pbs.twimg.com/ext_tw_video_thumb/1756568241710014464/pu/img/IEuxlcX3UAbp_f4U.jpg,,in,Kota Parepare,0,0,0,https://x.com/POLSEKKPN1/status/1756568679720931478,1.58E+18,POLSEKKPN1
1.76E+18,Sun Feb 11 06:39:32 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! https://t.co/oUfonkfmht,1.76E+18,https://pbs.twimg.com/media/GGCV2tRbIAAq9Sa.jpg,,in,,0,0,0,https://x.com/pebayuran77/status/1756568632975663443,1.60E+18,pebayuran77
1.76E+18,Sun Feb 11 06:39:26 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! Mari Jaga Kesatuan https://t.co/l4HP7LH7Ea,1.76E+18,https://pbs.twimg.com/media/GGCV1VdaoAAhOQV.jpg,,in,Indonesia,0,0,0,https://x.com/HumasPolresMura/status/1756568606933188818,7.94E+17,HumasPolresMura
1.76E+18,Sun Feb 11 06:39:14 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! https://t.co/ldJepC6egi,1.76E+18,https://pbs.twimg.com/media/GGCVyL4boAAMUcM.jpg,,in,,0,0,0,https://x.com/pamulang_polsek/status/1756568557541110084,1.50E+18,pamulang_polsek
1.76E+18,Sun Feb 11 06:38:48 +0000 2024,0,Pemilihan umum 2024 akan digelar pada Rabu 14 Februari 2024. Bagi Sobat Polri yang telah terdaftar sebagai pemilih tetap perlu mengetahui larangan saat berada di Tempat Pemungutan Suara (TPS) ya. Mari Jaga Kesatuan Persatuan #BersamaJagaIndonesia Sumber: @indonesiabaik.id https://t.co/1hNy9nx6ci,1.76E+18,https://pbs.twimg.com/ext_tw_video_thumb/1756567773634002944/pu/img/lDK3gUZZ0KO47RT8.jpg,,in,,0,0,0,https://x.com/BckPolsek/status/1756568449755865157,1.58E+18,BckPolsek
1.76E+18,Sun Feb 11 06:38:30 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! Mari Jaga Kesatuan https://t.co/pZ1unRU46a,1.76E+18,https://pbs.twimg.com/media/GGCVoDOboAAsyAn.jpg,,in,,0,0,0,https://x.com/bungoropolsek1/status/1756568372526108719,1.57E+18,bungoropolsek1
1.76E+18,Sun Feb 11 06:38:21 +0000 2024,0,Pemilihan umum 2024 akan digelar pada Rabu 14 Februari 2024. Bagi Sobat Polri yang telah terdaftar sebagai pemilih tetap perlu mengetahui larangan saat berada di Tempat Pemungutan Suara (TPS) ya. Apa saja ya larangannya? Yuk simak video ini. #BersamaJagaIndonesia https://t.co/vn93MNF9WB,1.76E+18,https://pbs.twimg.com/ext_tw_video_thumb/1756568229760397312/pu/img/A3aM2O5UHVS3eGnr.jpg,,in,,0,0,0,https://x.com/sek_moncongloe/status/1756568335817519252,1.65E+18,sek_moncongloe
1.76E+18,Sun Feb 11 06:37:26 +0000 2024,0,Gunakan Hak Pilihmu Mari Wujudkan Pemilu 2024 Aman dan Damai Sobat Polri hari pemungutan suara tinggal sebentar lagi nih. Yuk datang ke Tempat Pemungutan Suara (TPS) pada 14 Februari 2024 dan gunakan hak pilihmu untuk penentuan Indonesia di masa depan! Mari Jaga Kesatuan https://t.co/9i5Nc6IfPA,1.76E+18,https://pbs.twimg.com/media/GGCVS9WbcAAeMl5.jpg,,in,Setiabudi,0,0,0,https://x.com/SetiabudiPolsek/status/1756568106154229858,1.20E+18,SetiabudiPolsek
